FECHA,HORA,ESTADO,TIPO_TRAFICO,NOMBRE
2025-09-01,09:00,3,trafico 10km/hora,TREBOL V.H - COLUMPIO V.H
2025-09-01,09:00,2,moderado,ROOSEVELTH - TREBOL
2025-09-01,09:00,2,moderado,20 CALLE - 18 AVENIDA
2025-09-01,09:00,2,moderado,PETAPA - TREBOL
2025-09-01,09:00,1,fluido,HINCAPIE - LIBERACIÓN
2025-09-01,16:00,2,moderado,PROCERES - OBELISCO
2025-09-01,16:00,2,moderado,ROOSEVELTH - TREBOL
2025-09-01,16:00,2,moderado,PETAPA - TREBOL
2025-09-01,16:00,3,trafico 10km/hora,20 CALLE - 18 AVENIDA
2025-09-01,16:00,3,trafico 10km/hora,KM 9 - KM 4.5 ATLANTICO
2025-09-01,16:00,2,moderado,TREBOL V.H - COLUMPIO V.H
2025-09-01,16:00,3,trafico 10km/hora,KM 4.5 - JOSE MILLA
2025-09-01,16:00,2,moderado,MARISCAL ZAVALA  - LA PAZ
2025-09-01,16:00,2,moderado,NARANJO - PERIFERICO
2025-09-01,16:00,2,moderado,AG. BATRES - TREBOL
2025-09-01,16:00,2,moderado,SAN JUAN - TREBOL
2025-09-01,16:00,2,moderado,BLVD. LOURDES - ZONA 4
2025-09-01,16:00,2,moderado,ATANASIO 53 - ATANASIO 8
2025-09-01,16:00,2,moderado,JOSE MILLA - CALLE MARTI
2025-09-01,16:30,2,moderado,ATANASIO 53 - ATANASIO 8
2025-09-01,16:30,3,trafico 10km/hora,20 CALLE - 18 AVENIDA
2025-09-01,16:30,2,moderado,ROOSEVELTH - TREBOL
2025-09-01,16:30,2,moderado,BLVD. LOURDES - ZONA 4
2025-09-01,16:30,2,moderado,SAN JUAN - TREBOL
2025-09-01,16:30,2,moderado,MARISCAL ZAVALA  - LA PAZ
2025-09-01,16:30,2,moderado,NARANJO - PERIFERICO
2025-09-01,16:30,2,moderado,PETAPA - TREBOL
2025-09-01,16:30,2,moderado,PROCERES - OBELISCO
2025-09-01,16:30,3,trafico 10km/hora,KM 9 - KM 4.5 ATLANTICO
2025-09-01,16:30,2,moderado,AG. BATRES - TREBOL
2025-09-01,16:30,3,trafico 10km/hora,KM 4.5 - JOSE MILLA
2025-09-01,16:30,2,moderado,TREBOL V.H - COLUMPIO V.H
2025-09-01,16:30,2,moderado,JOSE MILLA - CALLE MARTI
2025-09-01,17:00,3,trafico 10km/hora,ROOSEVELTH - TREBOL
2025-09-01,17:00,2,moderado,KM 9 - KM 4.5 ATLANTICO
