clave_id_norm,nombre_id
2429,1
2429,2
6118,3
2429,4
7179,5
7179,6
7179,7
3082,8
7179,9
2429,10
2429,11
7179,12
5163,13
2429,14
7179,15
3082,16
5405,4
7366,13
1273,9
1273,6
1273,5
1273,7
4468,8
4468,16
1273,12
6204,3
5405,10
5405,14
1273,15
5405,1
5405,11
5405,2
3972,16
3972,8
8503,10
8503,4
8503,1
2345,9
2345,6
8503,14
2345,7
2345,15
3454,13
8503,11
2345,5
2345,12
3754,3
8503,2
7458,11
8507,5
3062,16
8507,9
8507,12
8507,6
2506,13
8507,15
7458,1
7458,4
8507,7
7458,2
7458,14
3782,3
7458,10
3062,8
7755,9
4253,13
7755,5
9795,12
4253,4
7755,3
4253,16
9795,8
7004,1
9795,7
4253,10
7755,15
4253,11
4253,2
7004,14
7755,6
9983,16
8397,14
7334,6
4912,7
9983,2
9983,13
7334,5
7334,9
9983,10
4912,12
9983,4
4912,8
7334,3
7334,15
8397,1
9983,11
4166,14
4530,4
2996,13
4530,1
4530,10
4530,11
2996,6
2996,16
2996,7
8729,15
4530,2
2996,12
8729,3
2996,8
4530,9
8729,5
3106,16
8049,9
8049,10
3106,8
3106,7
3106,12
3106,6
3106,13
2502,15
8049,1
2502,3
2502,5
8049,2
4628,14
8049,11
8049,4
2084,16
6007,6
2084,12
2084,7
2084,5
6007,4
2084,9
2084,10
6007,2
6007,8
248,15
6007,13
2084,3
2084,1
2084,11
248,14
7728,2
7728,3
7728,11
8380,1
8380,7
7728,13
8380,6
7728,15
7728,16
7728,4
7728,5
7728,8
7728,10
7728,12
3523,10
8623,1
3523,3
3523,8
3523,5
3523,15
3523,16
3523,11
3523,2
8623,7
3523,4
8623,6
3523,13
3523,12
1498,3
5851,7
1498,5
1498,12
5851,16
1498,6
1498,2
1498,1
5851,11
5851,10
5851,4
5851,15
1498,13
1498,8
5851,9
5851,14
7438,3
7438,8
7438,13
7438,5
7438,1
7595,10
7595,16
7438,6
7595,15
7595,9
7595,7
7438,2
7595,14
7438,12
7595,4
7595,11
1969,10
6944,9
9317,7
1969,2
6944,1
6944,15
6944,14
6944,4
6944,11
6944,5
6944,13
6944,8
6944,16
6944,6
6944,3
6944,12
7510,7
2854,16
2854,1
9272,10
2854,6
2854,3
2854,8
2854,13
2854,9
2854,14
2854,4
2854,12
9272,2
2854,5
2854,15
2854,11
9030,6
9030,13
9030,8
9030,4
130,16
9030,9
130,7
9030,15
9030,5
4002,2
9030,1
4002,10
9030,12
130,3
9030,14
130,11
9326,7
3084,9
4728,10
3084,4
9326,3
3084,5
3084,13
4728,2
3084,12
9326,16
3084,1
3084,6
3084,14
3084,8
3084,15
9326,11
6468,10
6468,11
9821,1
9821,8
9821,12
9821,7
8239,14
3945,3
9821,16
3945,9
9821,15
3945,5
6468,4
9821,6
8239,2
8239,13
3693,11
5567,7
5567,16
5547,2
5547,14
5567,1
5567,8
5567,12
5547,13
5567,6
5567,15
9938,5
3693,10
9938,9
9938,3
3693,4
120,7
7578,13
7578,16
120,11
